Router1,Router2,Cost,Capacity
AMBALA-PE-04,AMBALA-PP-01,0.4327,100
AMBALA-PE-04,CHANDIGARH-PP-04,0.152,10
AMBALA-PP-01,CHANDIGARH-PP-03,0.859,20
AMBALA-PP-01,CHANDIGARH-PP-04,0.4765,20
AMBALA-PP-01,JALANDHAR-PP-02,0.6835,20
AMBALA-PP-01,JAMMU-PP-01,0.907,10
AMBALA-PP-01,NEWDELHI-PP-03,0.448111111,90
AMBALA-PP-01,NEWDELHI-PP-04,0.700777778,90
AMBALA-PP-01,SHIMLA-PP-01,0.2545,20
AMRITSAR-PE-02,CHANDIGARH-PP-03,0.149,10
AMRITSAR-PE-02,JALANDHAR-PP-02,0.101,10
AMRITSAR-PE-03,CHANDIGARH-PP-03,0.363,10
AMRITSAR-PE-03,JALANDHAR-PP-02,0.653333333,30
ANAND-PE-02,AHMEDABAD-PP-02,0.435,10
ANAND-PE-02,SURAT-PP-01,0.169,10
ANAND-PE-03,AHMEDABAD-PP-02,0.4335,20
ANAND-PE-03,SURAT-PP-01,0.009,10
ANANTAPUR-PE-02,BANGALORE-PP-07,0,10
ANANTAPUR-PE-03,BANGALORE-PP-06,0.396,10
ANANTAPUR-PE-03,BANGALORE-PP-07,0.442,10
ANANTAPUR-PE-03,CHENNAI-PP-07,0.427,10
ANANTAPUR-PE-03,KURNOOL-PP-01,0.386666667,30
ANGUL-PE-01,BHUBANESWAR-PP-02,0.034,10
ANGUL-PE-01,CUTTACK-PP-01,0.001,10
ARAH-PE-01,BHAGALPUR-PP-01,0,10
ARAH-PE-01,PATNA-PP-02,0.0565,20
ASANSOL-PE-01,DURGAPUR-PP-02,0.224,10
AURANGABAD-PE-02,DHULE-PP-01,0.159,10
AURANGABAD-PE-02,MUMBAI-PP-06,0.556,10
AURANGABAD-PE-02,PUNE-PP-03,0.289,20
AURANGABAD-PE-03,DHULE-PP-01,0.014,10
AURANGABAD-PE-03,MUMBAI-PP-07,0.16,10
AURANGABAD-PE-03,PUNE-PP-03,0.015,10
AZAMGARH-PE-01,GORAKHPUR-PP-01,0.349,10
AZAMGARH-PE-01,LUCKNOW-PP-04,0,2.5
AZAMGARH-PE-01,VARANASI-PP-02,0.05,10
BALASORE-PE-01,BHUBANESWAR-PP-02,0.049,10
BALASORE-PE-01,CUTTACK-PP-01,0.052,10
BALASORE-PE-01,KOLKATA-PP-06,0.014,10
BALASORE-PE-02,BHUBANESWAR-PP-02,0.511,10
BALASORE-PE-02,CUTTACK-PP-01,0.593,10
BANGALORE-GSMPE-01,BANGALORE-PP-06,0,10
BANGALORE-GSMPE-01,BANGALORE-PP-07,0.1992,100
BANGALORE-GSMPE-02,BANGALORE-PP-06,0,10
BANGALORE-GSMPE-02,BANGALORE-PP-07,0.0366,100
BANGALORE-IGW-04,BANGALORE-IGWPE-04,0.415,300
BANGALORE-IGW-05,BANGALORE-IGWPE-05,0.2406,200
BANGALORE-IGWPE-04,BANGALORE-PP-04,0.543375,240
BANGALORE-IGWPE-05,BANGALORE-PP-05,0.158966667,300
BANGALORE-MCR-01,BANGALORE-PP-06,0.026,30
BANGALORE-MCR-02,BANGALORE-PP-06,0.4455,20
BANGALORE-MCR-02,BANGALORE-PP-07,0.354,20
BANGALORE-PE-02,BANGALORE-PP-07,0,20
BANGALORE-PE-03,BANGALORE-PP-06,0.031,20
BANGALORE-PE-04,BANGALORE-PP-07,0,10
BANGALORE-PE-05,BANGALORE-PP-06,0.285,10
BANGALORE-PE-05,BANGALORE-PP-07,0.571,10
BANGALORE-PE-06,BANGALORE-PP-06,0.4735,20
BANGALORE-PE-06,BANGALORE-PP-07,0.265,10
BANGALORE-PE-07,BANGALORE-PP-06,0.337875,80
BANGALORE-PE-08,BANGALORE-PP-07,0.18575,80
BANGALORE-PE-11,BANGALORE-PP-06,0,40
BANGALORE-PE-12,BANGALORE-PP-07,0.46,60
BANGALORE-PE-13,BANGALORE-PP-06,0.2272,100
BANGALORE-PE-13,BANGALORE-PP-07,0.11,10
BANGALORE-PE-14,BANGALORE-PP-06,0.001,10
BANGALORE-PE-14,BANGALORE-PP-07,0.003,10
BANGALORE-PE-15,BANGALORE-PP-06,0,10
BANGALORE-PE-15,BANGALORE-PP-07,0,10
BANGALORE-PE-16,BANGALORE-PP-06,0.201,10
BANGALORE-PE-16,BANGALORE-PP-07,0.3459,200
BANGALORE-PP-02,BANGALORE-PP-04,0.032333333,30
BANGALORE-PP-03,BANGALORE-PP-05,0.055833333,60
BANGALORE-PP-04,BANGALORE-PP-05,0.18495,200
BANGALORE-PP-04,BANGALORE-PP-06,0.2417,300
BANGALORE-PP-04,CALICUT-PP-02,0.173,40
BANGALORE-PP-04,CHENNAI-PP-04,0.644,100
BANGALORE-PP-04,COIMBATORE-PP-02,0.462,30
BANGALORE-PP-04,ERNAKULAM-PP-02,0.3992,50
BANGALORE-PP-04,HUBLI-PP-01,0.73575,40
BANGALORE-PP-04,HYDERABAD-PP-02,0.406333333,30
BANGALORE-PP-04,KOLKATA-PP-05,0.6015,20
BANGALORE-PP-04,MANGALORE-PP-02,0.587428571,70
BANGALORE-PP-04,MUMBAI-PP-04,0.399,30
BANGALORE-PP-04,NAGPUR-PP-03,0.319833333,60
BANGALORE-PP-04,PANJIM-PP-01,0.089,20
BANGALORE-PP-04,PUNE-PP-03,0.604,30
BANGALORE-PP-04,SECUNDERABAD-PP-01,0.15,30
BANGALORE-PP-04,VIJAYAWADA-PP-02,0.4435,20
BANGALORE-PP-04,VIZAG-PP-02,0.632,10
BANGALORE-PP-05,BANGALORE-PP-07,0.48205,200
BANGALORE-PP-05,CALICUT-PP-02,0.144,30
BANGALORE-PP-05,CHENNAI-PP-05,0.87525,80
BANGALORE-PP-05,COIMBATORE-PP-02,0.583,10
