S.NO    City_Id     City_Name             Degree    Adjacent_Vertices                                           
106     106         BHOPAL-GSMPE-02       2         112 322                                                     
107     107         BHOPAL-PE-02          2         112 322                                                     
108     108         BHOPAL-PE-03          2         112 322                                                     
109     109         BHOPAL-PE-04          2         112 322                                                     
110     110         BHOPAL-PE-05          2         112 322                                                     
111     111         BHOPAL-PE-06          2         112 322                                                     
112     112         BHOPAL-PP-02          28        20 105 106 107 108 109 110 111 283 284 285 297 320 321 322 327 328 359 480 481 501 524 582 600 601 614 616 680
113     113         BHUBANESWAR-GSMPE-01  2         120 197                                                     
114     114         BHUBANESWAR-GSMPE-02  2         120 197                                                     
115     115         BHUBANESWAR-GSMPE-03  2         120 197                                                     
116     116         BHUBANESWAR-PE-03     1         120                                                         
117     117         BHUBANESWAR-PE-04     1         120                                                         
118     118         BHUBANESWAR-PE-05     2         120 197                                                     
119     119         BHUBANESWAR-PE-06     2         120 197                                                     
120     120         BHUBANESWAR-PP-02     29        49 55 56 94 95 113 114 115 116 117 118 119 182 183 194 195 196 197 212 410 411 501 502 582 593 605 606 607 704
121     121         BHUJ-PE-01            2         20 588                                                      
122     122         BHUJ-PE-02            2         20 588                                                      
123     123         BIJAPUR-PE-01         2         301 317                                                     
124     124         BIKANER-PE-01         3         339 346 363                                                 
125     125         BIKANER-PE-02         2         339 363                                                     
126     126         BILASPUR-PE-02        3         328 502 582                                                 
127     127         BILASPUR-PE-03        3         328 502 582                                                 
128     128         BIRBHUM-PE-01         2         98 229                                                      
129     129         BOKARO-PE-01          1         593                                                         
130     130         BONGAIGAON-PE-01      2         281 633                                                     
131     131         BONGAIGAON-PE-02      2         281 633                                                     
132     132         BURDWAN-PE-01         2         229 412                                                     
133     133         CALICUT-GSMPE-01      2         137 245                                                     
134     134         CALICUT-GSMPE-02      2         137 245                                                     
135     135         CALICUT-PE-02         2         137 245                                                     
136     136         CALICUT-PE-03         2         137 245                                                     
137     137         CALICUT-PP-02         26        27 80 81 133 134 135 136 182 183 190 232 233 234 235 238 239 242 243 244 370 371 449 450 451 660 673
138     138         CHANDIGARH-GSMPE-03   2         152 153                                                     
139     139         CHANDIGARH-GSMPE-04   2         152 153                                                     
140     140         CHANDIGARH-GSMPE-05   2         152 153                                                     
141     141         CHANDIGARH-GSMPE-06   2         152 153                                                     
142     142         CHANDIGARH-GSMPE-07   2         152 153                                                     
143     143         CHANDIGARH-GSMPE-08   2         152 153                                                     
144     144         CHANDIGARH-GSMPE-09   2         152 153                                                     
145     145         CHANDIGARH-MCR-01     2         152 153                                                     
146     146         CHANDIGARH-PE-01      1         152                                                         
147     147         CHANDIGARH-PE-02      3         42 152 153                                                  
148     148         CHANDIGARH-PE-03      3         42 152 153                                                  
149     149         CHANDIGARH-PE-05      2         152 153                                                     
150     150         CHANDIGARH-PE-06      2         152 153                                                     
151     151         CHANDIGARH-PP-02      1         153                                                         
152     152         CHANDIGARH-PP-03      45        36 37 39 40 42 43 44 102 138 139 140 141 142 143 144 145 146 147 148 149 150 153 200 203 204 213 292 298 346 350 352 378 437 440 481 523 524 544 599 621 623 624 625 635 636
153     153         CHANDIGARH-PP-04      38        36 41 42 101 138 139 140 141 142 143 144 145 147 148 149 150 151 152 202 208 274 286 290 296 298 344 345 346 351 352 438 439 524 542 543 597 610 625
154     154         CHANDRAPUR-PE-01      2         501 502                                                     
155     155         CHANDRAPUR-PE-02      2         501 502                                                     
156     156         CHAPRA-PE-01          2         265 553                                                     
157     157         CHENNAI-GSMPE-01      2         184 185                                                     
158     158         CHENNAI-GSMPE-02      2         184 185                                                     
159     159         CHENNAI-GSMPE-03      2         184 185                                                     
160     160         CHENNAI-GSMPE-04      2         184 185                                                     
161     161         CHENNAI-IGW-04        1         163                                                         
162     162         CHENNAI-IGW-05        1         164                                                         
163     163         CHENNAI-IGWPE-04      2         161 182                                                     
164     164         CHENNAI-IGWPE-05      2         162 183                                                     
165     165         CHENNAI-IRR-02        2         182 183                                                     
166     166         CHENNAI-IXP-01        1         184                                                         
167     167         CHENNAI-MCR-01        2         184 185                                                     
168     168         CHENNAI-MCR-02        2         184 185                                                     
169     169         CHENNAI-PE-02         1         185                                                         
170     170         CHENNAI-PE-06         2         184 185                                                     
171     171         CHENNAI-PE-07         2         184 185                                                     
172     172         CHENNAI-PE-08         2         184 185                                                     
173     173         CHENNAI-PE-09         2         184 185                                                     
174     174         CHENNAI-PE-11         1         184                                                         
175     175         CHENNAI-PE-13         2         184 185                                                     
176     176         CHENNAI-PE-14         2         184 185                                                     
177     177         CHENNAI-PE-15         2         184 185                                                     
178     178         CHENNAI-PE-16         2         184 185                                                     
179     179         CHENNAI-PE-17         2         184 185                                                     
180     180         CHENNAI-PE-18         2         184 185                                                     
181     181         CHENNAI-PE-19         2         184 185                                                     
182     182         CHENNAI-PP-04         23        80 120 137 163 165 183 184 190 197 244 281 317 410 425 444 449 480 501 524 553 668 697 704
